species,photo,%rock,%veg,%mud/dirt,%other,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
coei,6476,82,3,,15,1.2,2,0.4,1.7,0.3,1,1.2,0.8,1,2
sagu,6460,10,90,,0,2,0.5,0.8,1.5,1.8,0.8,0.7,1.2,0.6,1.3
sagu,6462,0,100,,0,0,0,0,0,0,0,0,0,0,0
sagu,6463,5,95,,0,0.3,0.5,0.5,0.9,0.6,0.8,1,0.5,0.3,0.2
sagu,6464,1,99,,0,0,0,0,0,0,0,0,0,0,0
sagu,6469,0,100,,0,0,0,0,0,0,0,0,0,0,0
arte,6432,0,100,,0,0,0,0,0,0,0,0,0,0,0
arte,6435,0,100,,0,0,0,0,0,0,0,0,0,0,0
arte,6436,0,100,,0,0,0,0,0,0,0,0,0,0,0
arte,6437,0,100,,0,0,0,0,0,0,0,0,0,0,0
arte,6438,3,97,,0,0.6,0.4,0.6,0.4,1.5,0.6,0,0,0,0
arte,6439,0,100,,0,0,0,0,0,0,0,0,0,0,0
arte,6440,0,100,,0,0,0,0,0,0,0,0,0,0,0
arte,6441,0,100,,0,0,0,0,0,0,0,0,0,0,0
arte,6442,0,100,,0,0,0,0,0,0,0,0,0,0,0
arte,6449,10,90,,0,0.5,1.1,0.4,1.6,1.9,0.6,0.2,0.7,1,1
arte,6452,0,100,,0,0,0,0,0,0,0,0,0,0,0
arte,6453,12,88,,0,0.6,0.4,0.3,0.8,0.5,0.6,0.2,0.4,0.3,1.1
arte,6454,0,100,,0,0,0,0,0,0,0,0,0,0,0
arte,6458,4,96,,0,0.3,0.7,0.5,0.8,0.4,1,0.2,0.5,1,0.6
arte,6459,3,97,,0,0.9,0.5,0.3,1,1.3,1.1,0.4,0.3,0.5,0.5
arte,6461,1,99,,0,0,0,0,0,0,0,0,0,0,0
arte,6465,25,75,,0,0.8,0.4,3,2.3,0.5,1.3,0.6,0.6,0.7,1.1
arte,6467,25,75,,0,0.4,0.6,1.2,0.4,0.5,0.8,0.5,0.9,1.7,0.8
arte,6468,17,83,,0,1,1.3,1,0.8,0.7,0.4,0.6,0.7,0.3,0.8
arte,6477,75,25,,0,1.2,1.2,0.9,0.7,0.7,0.5,0.5,1.1,0.5,0.3
coei,6433,0,100,,0,0,0,0,0,0,0,0,0,0,0
coei,6434,35,65,,0,0.6,0.8,1,0.4,0.9,0.3,0.3,0.6,0.7,0.5
coei,6448,0,100,,0,0,0,0,0,0,0,0,0,0,0
coei,6450,1,99,,0,0,0,0,0,0,0,0,0,0,0
coei,6466,0,100,,0,0,0,0,0,0,0,0,0,0,0
coei,6494,20,80,,0,1.1,0.4,0.7,0.8,0.3,1.2,1,0.6,0.7,0.5
coei,6495,22,78,,0,1.3,1,0.6,0.7,0.8,2.1,1.1,0.5,0.6,1
coei,6496,40,60,,0,0.4,0.9,0.6,0.7,1.1,0.9,1,0.1,0.2,0.3
coei,6497,5,95,,0,0.4,1,0.3,0.6,0.7,1.2,1.1,0,0,0
coei,6499,3,97,,0,0,0,0,0,0,0,0,0,0,0
coei,6500,3,97,,0,0,0,0,0,0,0,0,0,0,0
coei,6501,15,85,,0,1.4,0.9,0.9,1,0.8,0.6,1,1.2,0.7,0.8
coei,6503,15,85,,0,1.3,0.5,1.2,1.9,1,1.1,1.2,1,0.8,2
coei,6504,20,80,,0,2.1,1.8,1,0.5,1.6,0.4,1.8,1.7,0.7,1.2
home,,,,,,,,,,,,,,,
rand1,1126,100,0,,0,9,3,7,5.5,5,4,8,4.5,5,4
rand2,1121,8,92,,0,3.5,1,3.5,0.5,1,1.5,6,1,0.2,1
rand3,1116,100,0,,0,4.5,2.5,5.5,3,2,1,1.5,2,1,0.5
rand4,1111,0,100,,0,0,0,0,0,0,0,0,0,0,0
rand5,1106,3,97,,0,1.5,0.5,0.5,1,1,0.5,0.5,1,1.5,3
rand6,1101,90,10,,0,3.5,6,2.5,2,8.5,4,3.5,3.5,5,3
rand7,1096,80,20,,0,1.5,2,3,3,3,4.5,3.5,2.5,5,5.5
rand8,1091,100,0,,0,2.5,5,11,1,1.5,2.5,1,2,3,2.5
rand9,1086,100,0,,0,5,3.5,2,6,4.5,4,3.5,14,0.5,3
rand10,1081,100,0,,0,2.5,1.5,5,2.5,3.5,4,2.5,5,2.5,4
rand11,1076,20,80,,0,5.5,5,4,2.5,2.5,3,1,2,3,2.5
rand12,1071,80,20,,0,2.5,3,4.5,5.5,2.5,2.5,1.5,0.5,2,3
rand13,1066,15,0,85,0,6,1.5,2,2.5,1,1,3.5,1.5,1.5,4
